file,energy_before_eV,energy_after_eV,natoms,relaxed_cif
struct_0715.cif,-28.235245,-28.250309,4,struct_0715_relaxed.cif
struct_0716.cif,-96.86798,-96.95806,12,struct_0716_relaxed.cif
struct_0717.cif,-85.661964,-85.97622,12,struct_0717_relaxed.cif
struct_0718.cif,-79.186966,-79.20164,10,struct_0718_relaxed.cif
struct_0719.cif,-43.678196,-43.78273,6,struct_0719_relaxed.cif
struct_0720.cif,-41.730568,-41.743763,6,struct_0720_relaxed.cif
struct_0721.cif,-105.42056,-105.560745,16,struct_0721_relaxed.cif
struct_0722.cif,-28.480392,-28.486885,4,struct_0722_relaxed.cif
struct_0723.cif,-28.465286,-28.47292,4,struct_0723_relaxed.cif
struct_0724.cif,-113.64656,-113.728905,14,struct_0724_relaxed.cif
struct_0725.cif,-58.761543,-58.779816,8,struct_0725_relaxed.cif
struct_0726.cif,-58.77187,-58.781025,8,struct_0726_relaxed.cif
struct_0727.cif,-78.90796,-79.02097,10,struct_0727_relaxed.cif
struct_0728.cif,-56.420403,-56.48404,8,struct_0728_relaxed.cif
struct_0729.cif,-160.06734,-160.08122,20,struct_0729_relaxed.cif
struct_0730.cif,-28.468838,-28.473839,4,struct_0730_relaxed.cif
struct_0731.cif,-58.824554,-58.89562,8,struct_0731_relaxed.cif
struct_0732.cif,-96.89509,-96.94011,12,struct_0732_relaxed.cif
struct_0733.cif,-113.550575,-113.80733,16,struct_0733_relaxed.cif
struct_0734.cif,-41.801605,-41.843735,6,struct_0734_relaxed.cif
struct_0735.cif,-81.9892,-82.0137,11,struct_0735_relaxed.cif
struct_0736.cif,-104.08998,-104.1163,14,struct_0736_relaxed.cif
struct_0737.cif,-28.20726,-28.2307,4,struct_0737_relaxed.cif
struct_0738.cif,-91.57137,-91.57672,12,struct_0738_relaxed.cif
struct_0739.cif,-78.89877,-79.519196,14,struct_0739_relaxed.cif
struct_0740.cif,-69.5754,-69.76513,10,struct_0740_relaxed.cif
struct_0741.cif,-159.93352,-160.00009,20,struct_0741_relaxed.cif
struct_0742.cif,-88.77214,-88.864235,12,struct_0742_relaxed.cif
struct_0743.cif,-41.80667,-41.84354,6,struct_0743_relaxed.cif
struct_0744.cif,-69.198746,-69.22736,9,struct_0744_relaxed.cif
struct_0745.cif,-78.9326,-78.93401,10,struct_0745_relaxed.cif
struct_0746.cif,-52.19337,-52.194572,7,struct_0746_relaxed.cif
struct_0747.cif,-41.538357,-41.705658,6,struct_0747_relaxed.cif
struct_0748.cif,-78.901115,-79.06916,10,struct_0748_relaxed.cif
struct_0749.cif,-93.058014,-93.13996,13,struct_0749_relaxed.cif
struct_0750.cif,-58.31839,-58.465767,8,struct_0750_relaxed.cif
struct_0751.cif,-56.447502,-56.92572,8,struct_0751_relaxed.cif
struct_0752.cif,-55.59462,-56.08072,8,struct_0752_relaxed.cif
struct_0753.cif,-83.896706,-83.95327,12,struct_0753_relaxed.cif
struct_0754.cif,-72.07668,-72.5668,12,struct_0754_relaxed.cif
struct_0755.cif,-85.749115,-85.976814,14,struct_0755_relaxed.cif
struct_0756.cif,-92.26793,-92.27186,12,struct_0756_relaxed.cif
struct_0757.cif,-52.19801,-52.199078,7,struct_0757_relaxed.cif
struct_0758.cif,-126.38517,-126.42565,18,struct_0758_relaxed.cif
